,Processed File Name,Group,Year,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data,Changes,Known Errors,Raw File Name,Recorder (Name),Last Updated Date,Process File Name QA Check,File Name ISO Code,Process File Name Existance Check,Source Check,License Check,License Source Check,Link to Source Data Check,Zip File Validity Check,Raw File Check Log,Break_Column,4e94d47a3ba9cf8ae4f2357b52ebf35b,be1e46d1293c10aa45474b270296f268,4e49a3fcc48f0d4eafb346b29d1da5ea
0,AFG_ADM0.zip,Afghanistan,2012.0,ADM 0,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other,Strictly for humanitarian purposes,,https://data.humdata.org/dataset/afg-admin-boundaries,No,,afg_admbnd_adm1_pol_shp.zip,,,,,,,,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,,"Row(letters='', letters='')",|,,,
1,AFG_ADM1.zip,Afghanistan,2012.0,ADM 1,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other,Strictly for humanitarian purposes,,https://data.humdata.org/dataset/afg-admin-boundaries,No,,afg_admbnd_adm1_pol_shp.zip,,,,,,,,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,,"Row(letters='', letters='')",|,,,
2,AFG_ADM2.zip,Afghanistan,2012.0,ADM 2,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other,Strictly for humanitarian purposes,,https://data.humdata.org/dataset/afg-admin-boundaries,No,,afg_admbnd_adm2_pol_shp.zip,,,,,,,,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,,"Row(letters='', letters='')",|,,,
3,ALB_ADM0.zip,Albania,2017.0,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,Albania_Adm1.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
4,ALB_ADM1.zip,Albania,2017.0,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,Albania_Adm1.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
5,ALB_ADM2.zip,Albania,2013.0,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,Outdated,Albania_AL7.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
6,ALB_ADM3.zip,Albania,2013.0,ADM 3,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,Outdated,Albania_AL8.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
7,DZA_ADM0.zip,Algeria,2017.0,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Algeria.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
8,DZA_ADM1.zip,Algeria,2017.0,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Algeria.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
9,DZA_ADM2.zip,Algeria,2017.0,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Algeria.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
10,DZA_ADM3.zip,Algeria,2017.0,ADM 3,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Algeria.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
11,AND_ADM0.zip,Andorra,2017.0,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Andorra.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
